00:00:00,00:00:00
0039A6,0039A6
5.25,5.25
10:00:00,10:00:00
10:01:00,10:01:00
10:30:00,10:30:00
10:31:00,10:31:00
10:31:30,10:31:30
12.492269,12.492269
14:30:00,14:30:00
24:00:00,24:00:00
25:35:00,25:35:00
41.890169,41.890169
"1234,...,Airport,0","1234,...,Airport,0"
"1505,...,Downtown,1","1505,...,Downtown,1"
20180913,20180913
"""Contains """"quotes"""", commas and text""","""Contains """"quotes"""", commas and text"""
${response.url}: ${response.status} ${response.statusText},${response.url}: ${response.status} ${response.statusText}
*,*
.NET,.NET
.txt,.txt
[deprecated=true],[deprecated=true]
"A_shp,37.61956,-122.48161,0","A_shp,37.61956,-122.48161,0"
"A_shp,37.61956,-122.48161,0,0","A_shp,37.61956,-122.48161,0,0"
"A_shp,37.64430,-122.41070,6","A_shp,37.64430,-122.41070,6"
"A_shp,37.64430,-122.41070,6,6.8310","A_shp,37.64430,-122.41070,6,6.8310"
"A_shp,37.65863,-122.30839,11","A_shp,37.65863,-122.30839,11"
"A_shp,37.65863,-122.30839,11,15.8765","A_shp,37.65863,-122.30839,11,15.8765"
ACCESSIBILITY_ISSUE,ACCESSIBILITY_ISSUE
ACCIDENT,ACCIDENT
active_period,active_period
ADDED,ADDED
ADDITIONAL_SERVICE,ADDITIONAL_SERVICE
Africa/Cairo,Africa/Cairo
agency,agency
agency.agency_id,agency.agency_id
agency.agency_name,agency.agency_name
agency.agency_timezone,agency.agency_timezone
agency.agency_url,agency.agency_url
agency.txt,agency.txt
agency_email,agency_email
agency_fare_url,agency_fare_url
agency_id,agency_id
agency_lang,agency_lang
agency_name,agency_name
agency_phone,agency_phone
agency_timezone,agency_timezone
agency_url,agency_url
Alert,Alert
alert,alert
America/Los_Angeles,America/Los_Angeles
amount,amount
AND,AND
area_id,area_id
area_name,area_name
areas.area_id,areas.area_id
areas.txt,areas.txt
arrival,arrival
arrival_time,arrival_time
arrival_times,arrival_times
Asia/Tokyo,Asia/Tokyo
assigned_stop_id,assigned_stop_id
attribution_email,attribution_email
attribution_id,attribution_id
attribution_phone,attribution_phone
attribution_url,attribution_url
attributions,attributions
attributions.txt,attributions.txt
"b,...,2","b,...,2"
"b,...,3,4","b,...,3,4"
