en,ja
Stop,停留所等(stop)
Route,ルート・路線系統(route)
Trip,便(trip)
Stop time,停車時刻(stop_time)
Headsign,行先表示(headsign)
Shape,ルート形状(shape)
Pathway,構内通路(pathway)
Service day,運行日(service day)
Text-to-speech field,読み上げ用フィールド(text-to-speech field)
Leg,乗車区間(leg)
Journey,旅程(journey)
Sub-journey,部分旅程(sub-journey)
Effective Fare Leg,有効運賃区間(effective fare leg)
Cardinality,多重度(cardinality)
Trip update,便の更新(trip update)
Vehicle position,車両位置情報(vehicle position)
Alert,運行情報(alert)
Trip modification,便の変更(trip modification)
